M_user,M_opt,BFGS Action,BFGS Time,Adam (JAX) Action,Adam (JAX) Time,Adam (Optax) Action,Adam (Optax) Time,Yogi Action,Yogi Time,LBFGS Action,LBFGS Time,AdaBelief Action,AdaBelief Time,Newton's Method Action,Newton's Method Time,Hessian-based Optimization Action,Hessian-based Optimization Time
5,10,49421628.0,9.05847430229187,5443899.0,10.717682600021362,nan,5.948212623596191,318899740.0,5.95179557800293,34674390.0,26.57640528678894,5434649600.0,5.922375917434692,865824.25,3.2266886234283447,25670958.0,2.5536587238311768
5,20,12200349.0,10.248779058456421,24403220000000.0,16.171998500823975,18622384.0,9.447314977645874,nan,9.449595928192139,9558174.0,41.24545407295227,14131814.0,9.473831176757812,25695174.0,3.5277514457702637,672608100.0,3.0537867546081543
5,30,36570172.0,10.187392234802246,45403732.0,19.851977348327637,68355800.0,13.184885263442993,nan,13.190169095993042,30948730.0,54.28453230857849,14821557.0,13.220867395401001,nan,3.8305695056915283,nan,3.8830409049987793
5,40,77239704.0,16.82554006576538,13080620.0,29.187981605529785,12997343.0,17.520684242248535,83813230.0,17.935803413391113,56104612.0,89.6440532207489,73771580.0,17.581435918807983,196014960.0,5.090715169906616,nan,4.768613338470459
10,10,5648335.0,1.8514697551727295,41441910.0,8.44862985610962,nan,7.221365451812744,nan,7.251572608947754,21395400.0,30.13732624053955,19063496.0,7.26290225982666,2006261.9,0.6716670989990234,53386876.0,2.6000797748565674
10,20,3498279700.0,2.8165841102600098,9661637.0,10.997628688812256,38817944.0,10.923047304153442,9601773.0,10.763484001159668,85933770.0,160.95412278175354,10713476.0,10.841068267822266,102706660.0,0.777742862701416,40311812.0,3.152312994003296
10,30,7.4463426e+26,2.4472463130950928,21447646.0,14.737859010696411,40931340.0,14.600602865219116,nan,14.558780908584595,nan,209.64532160758972,682529260000.0,14.52924108505249,515426660.0,0.9885773658752441,148741700.0,3.939866542816162
10,40,13175383000.0,3.297304153442383,255461740000.0,19.895625114440918,782939970.0,19.725337266921997,nan,19.21112632751465,27559660.0,78.02134084701538,33709184.0,19.2259840965271,13552083000.0,1.2241699695587158,40789230000.0,4.933196306228638
12,10,360996030.0,4.542754173278809,42452740.0,8.707591772079468,nan,7.382096290588379,4476950.0,7.404220104217529,2863185200.0,104.57113814353943,54416708.0,7.4071173667907715,23184174.0,0.6723101139068604,183618860.0,2.6652145385742188
12,20,347539460.0,2.6105332374572754,273764300.0,11.22062635421753,8048089.0,10.974173069000244,29514704.0,10.983707427978516,108787440.0,47.4120819568634,9216785.0,11.08338975906372,32448266.0,0.7983529567718506,14882628.0,3.153414726257324
12,30,3949412000.0,2.3219571113586426,8430559.0,15.333365678787231,49375275000000.0,14.690104246139526,76324810.0,14.84073281288147,46966524.0,63.50467491149902,127100030.0,14.972320556640625,1668947700.0,0.9871132373809814,271733950.0,3.9751851558685303
12,40,2719278600.0,3.1717851161956787,17618992.0,19.368439197540283,118231440000000.0,18.99411702156067,53739924.0,19.29210376739502,31944728.0,78.83106327056885,35651370.0,19.76719832420349,878373200.0,1.3150527477264404,96194856.0,5.166154146194458
15,10,94520360.0,4.517594575881958,565563650.0,9.507793188095093,nan,8.391165733337402,nan,8.240779638290405,89457990.0,32.467968463897705,133082504.0,8.201913833618164,47978090.0,0.6607868671417236,262165390.0,2.6208252906799316
15,20,9682980000.0,2.4627435207366943,44979628.0,12.344372510910034,51694134000000.0,11.88629412651062,33895068.0,11.951354503631592,48125804.0,174.52638697624207,10961225000000.0,11.86000943183899,143575760.0,0.7938835620880127,63778852.0,3.1349637508392334
15,30,2309267500.0,2.187138080596924,81169420.0,15.75949239730835,83521530.0,16.161730527877808,nan,15.917173147201538,40592356.0,64.62990927696228,15325901000000.0,15.642970323562622,111640990.0,0.9948992729187012,4443609000000.0,4.057665824890137
15,40,203128820.0,3.161936044692993,18636104000000.0,20.093334913253784,nan,20.152723789215088,nan,20.340646505355835,71848550.0,82.18786597251892,61843083000000.0,21.17437481880188,35297080.0,1.353257179260254,87264960.0,5.32588267326355
